Id	Label	Color
1	Sam Houston St.	12
2	E. Washington	20
3	Abil Chr.	12
4	Georgia State	19
5	Texas A&M	9
6	South Carolina	9
7	E. Illinois	16
8	Minnesota	23
9	Presbyterian	13
10	Northern Illinois	17
11	Missouri St.	1
12	Northwestern St.	12
13	Bryant	22
14	Stony Brook	11
15	Wake Forest	6
16	La.-Monroe	19
17	Chattanooga	21
18	C. Michigan	17
19	Howard	18
20	Akron	17
21	Charlotte	13
22	Campbell	15
23	Reinhardt	21
24	Mercer	21
25	E. Kentucky	16
26	Robert Morris	25
27	Point U	13
28	Charleston So.	2
29	Missouri Baptist	15
30	SE Missouri St.	16
31	Idaho State	20
32	Utah	8
33	Valparaiso	4
34	W. Illinois	1
35	Boise St.	14
36	Ole Miss	9
37	Kentucky Chr.	16
38	Tenn. Tech	16
39	Taylor	4
40	S. Illinois	1
41	Tulane	3
42	Tulsa	3
43	Cal-Poly	20
44	New Mexico St.	19
45	Union College (KY)	16
46	Murray St.	16
47	North Dakota	20
48	San Jose St.	14
49	Rutgers	23
50	Washington St.	8
51	Weber St.	20
52	Arizona St.	8
53	Temple	3
54	Vanderbilt	9
55	BYU	14
56	Connecticut	3
57	Villanova	11
58	Syracuse	6
59	Jacksonville St.	16
60	Michigan St.	23
61	Bowling Green	17
62	W. Kentucky	24
63	Colorado St.	14
64	Colorado	8
65	Texas-San Antonio	24
66	Houston	3
67	UNLV	14
68	Arizona	8
69	Penn St.	23
70	UCF	3
71	UCLA	8
72	Virginia	6
73	Delaware	11
74	Pittsburgh	6
75	W. Michigan	17
76	Purdue	23
77	Wagner	25
78	Georgetown	5
79	N. Iowa	1
80	Iowa	23
81	Ohio St.	23
82	Navy	19
83	Troy	19
84	UAB	24
85	Appalachian St.	19
86	Michigan	23
87	UT Martin	16
88	Kentucky	9
89	N. Dakota St.	1
90	Iowa St.	7
91	Youngstown St.	1
92	Illinois	23
93	Indiana St.	1
94	Indiana	23
95	Wofford	21
96	Georgia Tech	6
97	Ga. Southern	19
98	N. Carolina St.	6
99	Delaware St.	18
100	Monmouth	13
101	Colgate	5
102	Ball St.	17
103	Nicholls St.	12
104	Air Force	14
105	So. Utah	20
106	Nevada	14
107	Boston College	6
108	Massachusetts	17
109	California	8
110	Northwestern	23
111	FAU	24
112	Nebraska	23
113	Hampton	18
114	Old Dominion	24
115	South Dakota St.	1
116	Missouri	9
117	Marshall	24
118	Miami (Ohio)	17
119	James Madison	11
120	Maryland	23
121	Rice	24
122	Notre Dame	6
123	Duquesne	25
124	Buffalo	17
125	West Virginia	7
126	Alabama	9
127	UC-Davis	20
128	Stanford	8
129	Portland St.	20
130	Oregon St.	8
131	William & Mary	11
132	Virginia Tech	6
133	Arkansas	9
134	Auburn	9
135	Montana	20
136	Wyoming	14
137	Virginia-Lynchburg	10
138	Alcorn St.	10
139	Faith U.	10
140	Mississippi Valley St.	10
141	S.C. State	18
142	Benedict	18
143	Clemson	6
144	Georgia	9
145	Elon	11
146	Duke	6
147	VMI	21
148	Bucknell	5
149	Coastal Carolina	2
150	The Citadel	21
151	Liberty	13
152	North Carolina	6
153	Morgan St.	18
154	E. Michigan	17
155	Holy Cross	5
156	Albany	11
157	Central Conn. St.	25
158	Towson	11
159	Ohio	17
160	Kent St.	17
161	Morehead St.	15
162	Richmond	11
163	Norfolk St.	18
